,OR,p,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std,exp_error_5,poly_error_5,exp_error_10,poly_error_10,exp_error_15,poly_error_15
117,0.2,0.7,0.744,0.01951737687293044,0.5215292,0.013688311944674554,0.7008758064516127,0.0008602267399158515,6.91527745938085e-08,2.1691488427168262e-06,1.3489504063665931e-06,0.0003999870015608637,0.00026017055937667237,0.005866002992395408
100,0.2,0.72,0.708,0.0203340109176719,0.49883160000000004,0.014330484555760142,0.7044480225988701,0.0008270523788704188,3.2679046655153554e-08,1.4654268527524126e-06,2.1516215722086455e-07,0.00036454967148140947,0.00010715747532229535,0.004974311931905717
84,0.2,0.74,0.716,0.020166506886419373,0.5068220000000001,0.014280042167724855,0.707740782122905,0.0008519468109339396,2.919923743384264e-08,1.87825832895535e-06,4.2636028893155466e-07,0.00038224712197416823,8.710313989229379e-05,0.004920478028938713
95,0.2,0.76,0.712,0.020251222185339826,0.5078248,0.014447880909320922,0.713120786516854,0.0008315064431857738,5.210560069946754e-08,2.093916906149063e-06,2.9358503155173554e-06,0.00042830187245918245,0.0002049303370921408,0.0056149649174969205
103,0.2,0.78,0.736,0.019713142824014644,0.5311348,0.014229878278394373,0.721541847826087,0.0007936412668679886,6.887228041407758e-08,1.945309277040935e-06,5.088643923847604e-07,0.0003804289713501915,0.0001350060896063822,0.0052163423255564625
92,0.3,0.0,0.74,0.019616319736382767,0.5652452000000001,0.01498277410608329,0.7637394594594594,0.0006144503140201838,3.2679046655153554e-08,1.4654268527524126e-06,3.2809711113317383e-06,0.0004286949428170076,0.0003161318291500132,0.006121396730597472
90,0.3,0.02,0.726,0.01994612744369192,0.5531268,0.015196482498378365,0.7617741046831956,0.0006694758822464086,3.2679046655153554e-08,1.4654268527524126e-06,5.831890855855018e-07,0.00038018960354345877,0.00010918184941917737,0.005074703518765412
87,0.3,0.04,0.716,0.020166506886419373,0.5450932,0.01535141783378721,0.7611810055865921,0.0006600082306317438,6.91527745938085e-08,2.1691488427168262e-06,4.903510386644064e-06,0.0004485165327541776,0.0004309276115373468,0.006640973619671285
81,0.3,0.06,0.702,0.020454632727086548,0.5338440000000001,0.0155539395179485,0.7603487179487178,0.0006513079542789463,5.182510651973663e-08,1.8700773404731713e-06,4.179459196802333e-07,0.0003829901741109655,5.829672016186457e-05,0.004697894224118232
106,0.3,0.08,0.758,0.019153902996517445,0.5748416,0.01452643603017891,0.7582749340369394,0.0006354339482128819,3.2959540834884474e-08,1.6892664184283041e-06,1.7815662748526512e-07,0.00036695616993339964,1.4488153996187378e-05,0.0041499286502222465
126,0.3,0.1,0.728,0.019900552756142227,0.551194,0.015067287376565165,0.7570203296703297,0.0006848233238201974,1.6034888404324846e-08,1.6575586676575376e-06,1.7114117416932258e-07,0.00035907301802134083,0.00015267663439613716,0.0052410643974794
124,0.3,0.12,0.74,0.019616319736382767,0.5591812,0.014822512459536677,0.7555437837837837,0.0006357700719504609,6.91527745938085e-08,2.1691488427168262e-06,1.0675121887719017e-06,0.00039817001797673804,0.00017543492978442678,0.0054749367352969576
123,0.3,0.14,0.71,0.020292855885754475,0.53551,0.015304188654090748,0.7541104225352113,0.0006766930771212621,6.91527745938085e-08,2.1691488427168262e-06,1.758595943101872e-06,0.00040881915528830374,0.0001424324080028971,0.005344542732141008
125,0.3,0.16,0.706,0.020374690181693564,0.5300392,0.015368446827403216,0.7506385269121812,0.002225740720641834,3.2959540834884474e-08,1.6892664184283041e-06,2.0694619812292606e-07,0.0003697505705821506,3.652340294521751e-05,0.004497979304199389
122,0.3,0.18,0.706,0.020374690181693564,0.5304876,0.01530817970669537,0.7512623229461757,0.0007062317201770795,3.2959540834884474e-08,1.6892664184283041e-06,6.354029086904164e-07,0.0003868382507485325,0.00013300842876338143,0.005201648646297486
127,0.3,0.2,0.742,0.019567115270269147,0.5578196000000001,0.014709287777172625,0.7516711590296496,0.0006239493470033489,1.575439422459393e-08,1.433719101981646e-06,1.4551416211499896e-06,0.00040292221516180623,0.00024685022577614887,0.005815956022930572
133,0.3,0.22,0.718,0.020123419192572618,0.5390904000000001,0.015106543577393208,0.7506908077994427,0.0006318170155197038,5.0006714729225435e-08,1.7644983549960677e-06,7.1043562304472e-07,0.000392153957488695,0.00010683925580936058,0.005003709351005766
128,0.3,0.24,0.714,0.020209106858047932,0.5348072,0.015136930380242884,0.748913725490196,0.0006849819345428377,5.210560069946754e-08,2.093916906149063e-06,1.203552525672425e-06,0.0004006440505858797,0.0001468832819909704,0.005298952119679418
132,0.3,0.26,0.708,0.0203340109176719,0.5295852,0.015209627268342903,0.7478723163841808,0.0007290468941757327,4.62464113281836e-08,1.9534902655231133e-06,1.1063435967163983e-06,0.00040079879305683153,0.00010319382237099849,0.00502776185910123
130,0.3,0.28,0.678,0.020895741192884256,0.5065919999999999,0.01560942396989716,0.747022418879056,0.0006906218328389008,6.91527745938085e-08,2.1691488427168262e-06,3.691295502466393e-06,0.0004353035785305336,0.00026581131454244235,0.0059691553325244215
23,0.3,0.3,0.76,0.019099738218101316,0.5676947999999999,0.014267641165445674,0.7468626315789473,0.0006689955538176967,1.2274585003283016e-08,1.8465505781845834e-06,3.3804778201421843e-06,0.00043284034117305995,0.0002901635406932449,0.006028211468126555
41,0.3,0.32,0.79,0.01821537811850196,0.5879656000000001,0.013561443930248726,0.7441853164556963,0.0006900537441035134,3.2679046655153554e-08,1.4654268527524126e-06,9.776238320907098e-08,0.00036822412133849514,9.355375762066418e-05,0.004913857521365684
6,0.3,0.34,0.704,0.020414896521902825,0.5247556,0.015217705290130968,0.7452761363636363,0.0007253438974550433,3.2679046655153554e-08,1.4654268527524126e-06,7.75183706628922e-08,0.00036650106441986374,3.0180659514985632e-05,0.004360470361430601
14,0.3,0.36,0.718,0.020123419192572618,0.5340744000000001,0.014968280386513343,0.7437186629526462,0.0006873881177276625,3.2959540834884474e-08,1.6892664184283041e-06,1.678548064252925e-07,0.000371726414371302,6.726152008983506e-05,0.004763158399806805
3,0.3,0.38,0.712,0.020251222185339826,0.5301524,0.01507860533963536,0.7444775280898877,0.0006880081142418205,6.91527745938085e-08,2.1691488427168262e-06,4.6484230129312645e-07,0.0003814549973281858,6.586860952320632e-05,0.004758355297467447
25,0.3,0.4,0.728,0.019900552756142227,0.5420556000000001,0.01481825524065772,0.7444752747252749,0.000687823309234016,3.518094826890791e-08,2.0622091553782966e-06,9.148962659512002e-07,0.00039468256856938546,0.00012379573624999327,0.005129883869751153
11,0.3,0.42,0.724,0.01999119806314769,0.5374976,0.014841904723736777,0.7422861878453038,0.000701087507995907,5.210560069946754e-08,2.093916906149063e-06,9.022659461390493e-07,0.00039543561732205456,5.599869190504321e-05,0.004715961286630049
